mnemonic,assigned_id,title
on-042,hk-sx9r.58,Multi-tenancy is explicitly deferred post-MVH
on-043,hk-sx9r.59,Metrics exposition format is deferred post-MVH
on-044,hk-sx9r.60,Distributed tracing across daemons is deferred post-MVH
on-050,hk-sx9r.61,`harmonik attach` minimum surface (5 sub-rules)
on-051,hk-sx9r.62,Multi-attach arbitration
on-054,hk-sx9r.63,`harmonik status` reports pause-reason discriminator
on-045,hk-sx9r.64,"Budgets declared, enforced, attributed cross-subsystem"
on-046,hk-sx9r.65,Budget events are operator-observable
on-047,hk-sx9r.66,Category defaults for resource budgets (5-row table)
on-048,hk-sx9r.67,Exhaustion protocol (4-step sequence)
on-049,hk-sx9r.68,Attribution shape (who-consumed-what 5-tuple + delegation_path)
on-inv-001,hk-sx9r.69,Sensor: N-1 compat window holds across every versioned artifact
on-inv-003,hk-sx9r.70,Sensor: secrets never appear in durable sinks unredacted
on-inv-005,hk-sx9r.71,Sensor: every subsystem reports its reconstruction contribution
on-inv-006,hk-sx9r.72,Sensor: no subsystem introduces a control surface bypassing between-task invariant
on-error.taxonomy,hk-sx9r.73,ON exit-code taxonomy (§8) — 23-code authoritative table
on-test.exit-code-taxonomy-fixture,hk-sx9r.74,Exit-code taxonomy + obligations fixture (ON-001..ON-004)
on-test.integrity-gate-harness,hk-sx9r.75,"Commit-hash integrity gate harness (ON-005, ON-005a, ON-006)"
on-test.operator-control-fsm-harness,hk-sx9r.76,"Operator-control state-machine scenario harness (ON-007..ON-014, ON-013a, ON-013c)"
on-test.queue-compat-harness,hk-sx9r.77,Queue-format compat harness (ON-015..ON-017)
on-test.schema-compat-harness,hk-sx9r.78,"Schema compat window harness (ON-018, ON-019, ON-INV-001)"
on-test.upgrade-contract-harness,hk-sx9r.79,"Upgrade contract scenario harness (ON-020, ON-020a, ON-021)"
on-test.security-and-shutdown-harness,hk-sx9r.80,"Security + shutdown 8-step drain harness (ON-022..ON-029, ON-027a, ON-INV-003)"
on-test.restart-rto-harness,hk-sx9r.81,"Restart RTO benchmark + monotonic-clock harness (ON-030..ON-033, ON-053, ON-INV-005)"
on-test.observability-envelope-harness,hk-sx9r.82,Observability envelope + silent-hang harness (ON-034..ON-040)
on-test.multi-daemon-and-attach-harness,hk-sx9r.83,"Multi-daemon + attach surface harness (ON-041..ON-046, ON-050, ON-051, ON-054)"
on-test.budget-defaults-and-attribution-harness,hk-sx9r.84,Budget defaults + exhaustion + attribution harness (ON-047..ON-049)
